,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
021MC22-2-1,1902,233,8378157,161152864,28251882,8241919,213523,3999351,64793,26489,591846,124984,2554377,3241634,248,10113,518116,21502,116093,36035,175,119498,25323,70116,12386,8856,1143,995,805,1200,1263,745,518,218,603,268,1508,2088,42941,2308,746
022MC22-2-5,3142,500,26929810,23271366,62709060,6803543,540267,11465516,150821,42292,1660081,396629,1773974,2280211,876,41569,1430250,43008,267167,142391,725,577780,130043,249660,33292,21433,2933,2869,2545,2473,2975,2116,1844,687,1050,583,4083,11061,3762,9863,2715
023MC22-2-8,2144,2625,11141370,79895216,31779958,6634548,431994,7288009,127507,29943,1123552,266049,2257226,3019125,1051,19523,959105,27062,181681,120971,318,305629,70411,141984,24572,17511,2373,2180,1437,1509,2141,991,1173,400,709,271,2048,6585,123923,7187,1994
024KL2,2722,926,13147262,20419062,39688820,5983538,199464,2790244,82132,25728,811325,259502,1338966,1923139,223,8061,358372,27515,88129,16258,170,123246,18362,42673,7092,5660,1261,1454,1343,1383,1983,1462,1290,512,655,407,1772,1507,1351,1003,571
025KL2,2950,821,13089189,21554132,41821392,6377444,213773,3017622,90414,28732,866758,276125,1378082,1836866,253,8653,394157,30414,96240,17259,170,122093,18085,46242,7961,6152,1371,1682,1363,1421,2131,1549,1327,569,707,388,1684,1483,1349,1038,632
026KL2,2609,794,12633937,19617776,37803704,5477757,181510,2549783,79623,26143,811233,266872,1357902,1828726,219,7930,356185,27494,85995,15900,186,116435,17306,41075,7046,5772,1288,1540,1346,1356,1946,1472,1216,458,674,385,1650,1451,1236,1006,617
027N612,22122,17842,89207568,39294,6992866,9150782,9342,140548,122691,43156,3385,41674,47566,4599,22546,36454,107046,56010,28847,56558,75075,49653,58019,64170,76550,12441,10900,35658,10663,74001,16904,71333,24098,70439,16280,67096,19222,74471,30865,45929,52321
028BCR2G,4225,1228,17328512,9801220,39347500,6240396,240228,10600043,54523,28346,732135,361974,1629646,2049622,612,44986,336594,37521,105201,14037,1777,633943,31478,65389,9851,7263,1335,1500,1411,1503,2259,1855,1820,743,1144,683,1981,1179,7032,5739,1978
029MC22-2-9,2750,433,18978612,16817676,43051876,5209033,481136,9570126,96679,26168,1133663,281254,1429494,1814750,846,33384,1016624,31172,191505,109312,585,415679,92095,184363,25783,17384,2513,2490,1996,1690,2211,1541,1238,475,720,365,3058,8481,2503,7077,2230
030MC22-2-23,2091,489,15076802,11910166,35771700,4257952,448131,6335727,85441,23760,931282,254058,1036353,1374657,705,26997,747780,24612,147142,76324,497,312210,60540,121876,16488,10717,1648,1767,1456,1346,1692,1264,1090,400,579,346,2479,6359,2208,5131,1597
031MC22-2-35,2532,931,14008405,133964928,37463108,7836410,255219,4674333,79275,27332,880933,216706,3198656,4171903,726,18016,667176,26599,132421,56117,302,265862,51034,106702,14838,10204,1561,1667,1509,1392,1662,1269,1165,448,627,281,2131,4888,40362,3741,938
032MC22-2-32,2084,484,15557413,24803444,40563712,4873837,308271,6157773,87468,21874,902087,219823,1351843,1765957,590,21051,779091,30301,152179,76082,419,281664,61149,123003,17741,12547,1941,1941,1580,1676,2098,1324,1111,565,622,500,1941,5956,1568,5271,1387
034MC22-2-30,2012,475,6290645,178701456,17418066,8211455,111520,2571142,41400,21525,359212,69539,3160394,3979986,439,8964,305387,12656,66668,25087,131,111160,20712,46705,6443,4757,798,750,605,700,803,580,515,136,303,160,968,1952,55114,1405,412
035MC22-2-24,4260,830,18172852,89422096,35119412,7297726,544459,8914913,101341,23145,968120,243962,3363195,3621284,1315,36618,1309631,40653,237601,135815,708,562783,112146,239550,33435,20175,3040,2997,2118,1898,2325,1965,1633,786,928,498,3571,9337,4515,9253,2848
036MC22-2-27,3060,979,23601382,19547772,53346852,6620387,501506,10011020,137277,33813,1327886,364205,1515604,2037480,894,38739,1148320,40922,212680,124343,746,468747,109512,203871,28833,20079,2660,2961,2317,2073,2889,1838,1593,581,988,507,3327,8888,5451,8362,2491
037MC22-2-28,2895,811,22208056,29659742,58931188,6175215,619169,11701680,127543,37861,1434248,356052,1942112,2292461,1253,45899,1475567,38463,295286,157509,880,632785,146248,276241,35957,24145,3617,3789,2621,2179,2840,1887,1848,652,722,529,4629,12471,3922,11388,3454
038MC22-2-29,3542,773,11883309,117281232,35819408,6832102,236442,4504372,82803,26900,982496,265746,2584537,3495638,386,16287,621787,25506,131363,51511,336,234146,44641,96890,13773,9736,1613,1715,1392,1285,1742,1298,1274,481,526,448,2047,4600,29392,3287,1139
039MC22-2-29B,2360,440,12743778,141168336,42029560,7545852,228782,4152847,86955,24406,740528,172700,2488104,3673240,558,19874,815721,33781,157703,50482,309,250552,55034,124456,17043,10187,1606,1670,2127,1840,1816,1218,1187,555,713,406,2153,5056,32772,3949,1005
040MC22-2-31,3231,265,15790866,16558496,42779140,4663015,48590,1480094,97229,29961,1827495,334229,1491117,1618958,345,8227,208772,32831,88620,24313,159,70885,19230,54187,10539,7939,2336,3540,2397,1975,2156,2187,2305,688,696,408,1628,2508,2767,593,355
041MC22-2-40,1851,473,13267122,11262541,29205766,3632724,287502,4956021,63534,17822,693640,158490,886316,1166640,599,18444,554814,20803,115607,51220,313,229596,42403,90880,13106,9109,1561,1612,1254,1143,1513,1033,901,369,428,240,1906,4082,8092,3210,1033
042KL2,2419,680,11844360,18532534,36225048,5706100,170414,2865474,82109,25694,764359,239905,1203842,1634093,142,8010,339418,27954,88903,15119,190,100958,15005,38069,6709,5459,1224,1311,1264,1240,1862,1272,1055,443,677,389,1541,1264,1156,940,491
043GOR132,5315,4963,4957525,68823344,33159542,5720590,24393,137144,70059,29926,105423,214171,1408408,1946217,182,2113,16840,14064,5718,52,12917,835,108,494,142,161,120,213,265,373,838,694,740,350,475,300,157,31,14891,6,63
044KL2,2337,580,10541698,16488952,31247782,5042112,152190,2460476,70021,22522,711351,227836,1132105,1523933,213,7070,294680,22881,71454,14152,169,97454,13898,34436,5956,4742,1055,1270,1117,1092,1545,1208,1024,384,511,324,1395,1123,1119,795,453
