No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
48,Cl,151.478,14.3,7.9,6.5,6.81,42.0,False
48,F,199.14,1.5,3.3,3.5,35.03,372.0,True
48,K,119.485,268.9,30.3,21.2,1.22,59.0,False
48,Mn,146.243,2.5,2.4,1.6,18.54,285.0,False
48,Al,90.995,1069.5,13.4,11.3,0.69,158.0,False
48,P,197.118,17.6,2.5,2.2,6.01,135.0,False
48,Mg,107.534,668.0,40.4,0.0,0.89,174.0,False
48,Ca,107.121,2590.8,33.8,37.2,0.45,90.0,False
48,Ti,88.305,587.2,0.0,47.7,0.96,129.0,False
49,Na,129.476,35.1,0.0,13.6,6.29,139.0,False
49,S,171.948,1.7,4.9,4.1,35.09,103.0,True
49,Fe,134.739,100.8,3.4,2.8,2.3,395.0,False
49,Si,77.822,3479.5,32.0,17.4,0.38,224.0,False
49,Cl,151.478,0.4,8.3,8.2,203.39,45.0,True
49,F,199.14,0.6,3.3,2.0,76.98,340.0,True
49,K,119.485,0.2,22.9,23.6,500.99,55.0,True
49,Mn,146.243,1.9,1.5,1.7,22.42,262.0,False
49,Al,90.995,440.6,15.1,8.0,1.09,154.0,False
49,P,197.118,0.1,2.9,4.3,844.59,173.0,True
49,Mg,107.534,1666.6,68.9,0.0,0.56,227.0,False
49,Ca,107.121,4851.8,37.3,46.4,0.32,98.0,False
49,Ti,88.305,385.9,0.0,47.8,1.21,129.0,False
50,Na,129.476,255.9,0.0,18.3,2.05,162.0,False
50,S,171.948,1.2,6.4,6.0,56.19,121.0,True
50,Fe,134.739,164.5,2.7,3.0,1.78,389.0,False
50,Si,77.822,3386.5,31.8,16.3,0.39,222.0,False
50,Cl,151.478,11.3,10.2,8.0,8.77,48.0,False
50,F,199.14,0.9,3.7,3.3,56.54,380.0,True
50,K,119.485,261.6,31.5,21.3,1.24,60.0,False
50,Mn,146.243,2.4,1.9,1.5,18.05,264.0,False
