,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
035MC22-2-24,4300,1080,18193160,89422192,35124940,7894277,553162,15487658,102266,23821,968120,244046,3368615,3626060,1540,36693,1309631,40659,237604,135834,730,562792,112146,239553,33441,20175,3040,3000,2120,1900,2330,1970,1640,790,930,500,3580,9343,4540,9253,2850
036MC22-2-27,3107,1250,23621200,19547896,53351760,7221255,510732,16529213,138166,34527,1327909,364302,1521082,2042310,1135,38812,1148320,40939,212691,124355,771,468762,109518,203871,28834,20079,2660,2964,2325,2075,2889,1850,1596,585,992,507,3328,8888,5458,8367,2493
037MC22-2-28,2931,1115,22228062,29659920,58936784,6772145,628172,18248748,128479,38568,1434277,356127,1947313,2297219,1553,45970,1475570,38477,295293,157523,900,632792,146248,276248,35961,24145,3619,3792,2627,2180,2842,1892,1857,657,734,534,4631,12475,3931,11389,3454
038MC22-2-29,3567,1111,11902459,117281432,35824796,7433663,244789,11036905,83909,27604,982540,265805,2589813,3500408,733,16387,621790,25534,131366,51529,366,234167,44641,96896,13779,9736,1616,1716,1394,1288,1744,1300,1277,488,527,450,2055,4600,29405,3289,1150
039MC22-2-29B,2416,700,12763047,141168544,42034936,8141169,237247,10676392,88067,25071,740547,172778,2493118,3677928,783,19964,815721,33790,157713,50491,333,250562,55040,124462,17052,10187,1608,1675,2133,1841,1816,1225,1200,558,716,408,2158,5059,32803,3950,1008
040MC22-2-31,3260,540,15810544,16558650,42784740,5259246,56992,8006963,98022,30713,1827515,334306,1496253,1623442,600,8282,208778,32841,88623,24322,180,70908,19233,54193,10544,7942,2340,3540,2400,1980,2160,2200,2310,690,700,410,1630,2510,2780,600,360
041MC22-2-40,1897,712,13286574,11262657,29211530,4230398,296447,11501114,64405,18400,693647,158561,891465,1171395,857,18518,554814,20816,115613,51240,337,229618,42403,90887,13114,9109,1566,1613,1260,1150,1513,1036,904,371,430,243,1909,4084,8105,3215,1034
042KL2,2441,900,11863508,18532662,36230440,6310267,178616,9518920,83000,26456,764366,239953,1208914,1638468,410,8085,339422,27970,88906,15129,201,100968,15005,38069,6718,5459,1225,1322,1267,1244,1863,1274,1060,451,679,393,1543,1269,1175,944,496
043GOR132,5346,5222,4976700,68823448,33165248,6318245,32632,6758763,71127,30636,105448,214280,1413641,1950693,457,2197,16847,14076,5725,61,12936,866,111,497,145,164,120,217,269,373,841,698,745,352,479,304,157,33,14906,10,63
044KL2,2380,800,10561004,16489079,31253388,5641168,160086,9041866,71008,23185,711364,227919,1137372,1528293,480,7126,294680,22905,71457,14165,194,97481,13901,34436,5966,4742,1058,1273,1122,1095,1547,1216,1026,386,511,326,1398,1125,1137,800,456
045KL2,2225,830,10261027,15931579,29968630,5392261,156969,8832038,67415,21351,669809,213769,1068256,1479911,487,6876,283327,21366,68390,13169,181,90354,12748,32909,5466,4220,975,1178,1007,1030,1453,1030,981,390,506,350,1267,1040,1028,776,455
046KL2,2215,907,10026138,15752863,28953102,5236334,151114,8758698,65652,20586,636802,208562,1050667,1473787,458,6501,275491,20556,66727,12898,138,89324,12688,31987,5336,4234,930,1119,1042,994,1350,1046,950,353,496,271,1124,1042,1034,729,461
047GOR128,5852,6317,3675310,73668800,32219894,6281018,24309,6644744,55386,28552,106141,185052,1648948,1931571,390,476,34585,13583,5952,134,352,1114,167,669,146,218,134,241,279,403,760,662,729,261,426,266,163,29,239,9,13
048MC59-1-2A,7226,1308,43275788,35976736,76650344,9101049,921804,28373788,93596,18461,1436875,203785,2460764,2295575,1791,88497,1615295,56930,356530,212846,1216,885195,188995,408602,54434,32474,4254,4509,3429,3358,3933,2750,2258,1016,1475,779,4404,16761,8649,14162,4429
049MC59-2-1A,2944,1061,24344180,11808538,54165420,6465282,978534,14080041,150917,35829,1533277,372385,1253561,1586481,850,25980,785190,37875,159502,57062,550,320785,42651,101984,17202,13412,2636,2803,2200,1991,2616,2075,1616,736,886,513,2683,4564,2155,2772,1211
050MC59-2-6A,3326,1178,20878328,15832322,45364080,5512676,974974,29049894,72504,16709,613581,236226,1335274,1438344,1700,101158,2000739,30285,231381,241791,2017,1176988,146724,222461,25626,14577,2087,2176,1537,1345,1961,1597,1487,584,950,610,3802,20975,6284,18685,5601
051MC59-9-1A,3392,1056,22774376,15522424,48856272,6146728,348145,13832580,122017,30697,1202218,299012,1200661,1493586,1404,37189,1139243,32434,225770,126432,862,481731,107372,212132,27015,16734,2392,2680,1954,1710,2476,1714,1340,554,746,402,3686,9589,2470,9333,3132
052MC59-9-1B,1642,685,11896483,20991744,24606520,4021058,193792,10498166,64351,18455,582966,137631,855968,1322416,842,19084,527054,15179,119133,56677,457,241050,59547,104377,13585,8617,1128,1171,1121,864,1300,1035,885,321,321,278,2235,5286,1414,4979,1450
053MC59-9-1B2,1277,615,10602018,8242162,18245220,3388467,185271,10036165,43977,12137,403646,119145,533705,811640,730,18277,430096,12373,94116,53168,405,189098,42419,84024,10728,6709,902,970,785,682,847,665,612,193,287,152,1483,3699,1490,3781,1310
