No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
47,Mn,146.037,156.2,95.4,83.3,1.52,34.0,False
47,Fe,134.743,2260.3,0.0,24.5,0.47,108.0,False
47,Si,77.808,25976.0,183.4,110.4,0.14,59.0,False
47,Ca,107.775,703.4,282.7,245.8,0.65,14.0,False
47,Cr,159.16,8.0,67.1,67.4,27.14,50.0,False
47,Ni,115.404,32.7,35.9,33.9,3.99,64.0,False
47,Al,90.986,13.0,83.3,64.8,15.66,24.0,False
48,Mg,107.54,59319.4,301.7,232.5,0.09,39.0,False
48,Mn,146.037,159.8,93.0,83.8,1.49,34.0,False
48,Fe,134.743,2018.7,0.0,24.2,0.5,108.0,False
48,Si,77.808,25137.3,188.4,111.0,0.14,60.0,False
48,Ca,107.775,668.3,279.3,246.3,0.67,14.0,False
48,Cr,159.16,12.2,67.3,64.5,18.02,49.0,False
48,Ni,115.404,36.2,38.3,32.3,3.69,65.0,False
48,Al,90.986,12.5,81.9,67.1,16.25,24.0,False
49,Mg,107.54,51194.0,308.4,230.1,0.1,39.0,False
49,Mn,146.037,179.8,102.1,90.2,1.39,35.0,False
49,Fe,134.743,2911.2,0.0,24.0,0.42,108.0,False
49,Si,77.808,25728.1,194.5,109.5,0.14,60.0,False
49,Ca,107.775,615.0,296.5,254.1,0.72,14.0,False
49,Cr,159.16,2.8,73.3,68.7,78.26,51.0,True
49,Ni,115.404,19.4,39.4,35.7,6.46,67.0,False
49,Al,90.986,12.9,88.9,70.1,16.35,25.0,False
50,Mg,107.54,51166.2,289.8,227.7,0.1,38.0,False
50,Mn,146.037,176.8,100.0,94.5,1.41,35.0,False
50,Fe,134.743,2915.4,0.0,24.0,0.42,107.0,False
50,Si,77.808,25758.9,199.9,120.5,0.14,62.0,False
50,Ca,107.775,627.9,298.0,247.9,0.71,14.0,False
50,Cr,159.16,-1.5,77.9,70.3,100.0,52.0,True
50,Ni,115.404,20.4,36.7,35.0,6.09,65.0,False
50,Al,90.986,17.0,87.6,68.1,12.44,25.0,False
51,Mg,107.54,51170.6,295.7,230.1,0.1,38.0,False
51,Mn,146.037,180.9,100.9,85.6,1.38,35.0,False
51,Fe,134.743,2900.3,0.0,26.5,0.42,113.0,False
51,Si,77.808,25755.2,198.3,116.0,0.14,61.0,False
51,Ca,107.775,661.4,297.2,252.2,0.68,14.0,False
51,Cr,159.16,1.8,68.6,70.7,119.5,51.0,True
51,Ni,115.404,18.7,39.7,35.8,6.7,67.0,False
51,Al,90.986,18.9,86.2,67.4,11.16,25.0,False
52,Mg,107.54,51285.9,303.5,232.1,0.1,39.0,False
52,Mn,146.037,174.8,101.4,90.3,1.42,35.0,False
52,Fe,134.743,2901.4,0.0,25.7,0.42,111.0,False
52,Si,77.808,24805.9,202.8,110.2,0.14,61.0,False
52,Ca,107.775,624.1,304.0,252.4,0.72,14.0,False
52,Cr,159.16,1.5,72.2,68.5,145.19,51.0,True
52,Ni,115.404,21.3,38.2,34.2,5.87,66.0,False
52,Al,90.986,16.5,85.9,67.1,12.7,25.0,False
53,Mg,107.54,51112.0,292.9,227.0,0.1,38.0,False
53,Mn,146.037,182.0,96.8,85.9,1.36,34.0,False
