 
Mass percent  	      Group : bas-Glas      	  Sample : 201216_Fr       	 Page 	  1 	 
 
   No. 	   Na2O  	   SO3   	   FeO   	   SiO2  	   Cl    	   F     	   K2O   	   MnO   	   Al2O3 	   P2O5  	   MgO   	   CaO   	   TiO2  	  Total  	Comment  
   35  	  4.8100 	  0.1339 	 11.9700 	 45.2500 	  0.1325 	  0.2803 	  2.1700 	  0.2166 	 15.5500 	  0.9683 	  4.2900 	 10.4800 	  3.7600 	100.0116 	UnknA-C21_9 
   36  	  4.0000 	  0.0293 	 12.0800 	 45.7300 	  0.0808 	  0.1543 	  1.2800 	  0.1893 	 14.7300 	  0.5434 	  5.6400 	 11.8600 	  3.6000 	 99.9172 	UnknA-C22-PS1-L2_1 
   37  	  4.0300 	  0.0483 	 12.1600 	 46.1000 	  0.0768 	  0.1577 	  1.2900 	  0.1937 	 14.6200 	  0.5798 	  5.5200 	 11.6500 	  3.6300 	100.0563 	UnknA-C22-PS1-L2_2 
   38  	  4.2800 	  0.0317 	 12.2100 	 45.3500 	  0.0635 	  0.0924 	  1.3200 	  0.2096 	 14.5400 	  0.5247 	  5.5500 	 11.7200 	  3.5200 	 99.4119 	UnknA-C22-PS1-L2_3 
   39  	  4.0100 	  0.0473 	 12.0000 	 45.8500 	  0.0755 	  0.1532 	  1.2400 	  0.1612 	 14.8700 	  0.5477 	  5.5200 	 11.7000 	  3.5800 	 99.7550 	UnknA-C22-PS1-L2_4 
   40  	  4.0700 	  0.0630 	 11.8000 	 46.7200 	  0.0733 	  0.0831 	  1.2100 	  0.1911 	 14.8800 	  0.5063 	  5.6200 	 11.7900 	  3.5100 	100.5168 	UnknA-C22-PS1-L2_5 
   41  	  4.1100 	  0.0549 	 12.2300 	 46.4800 	  0.0716 	  0.1101 	  1.2700 	  0.1563 	 14.6900 	  0.5212 	  5.6200 	 11.8800 	  3.6400 	100.8341 	UnknA-C22-PS1-L2_6 
   42  	  3.9800 	  0.0449 	 12.2700 	 46.4300 	  0.0950 	  0.1287 	  1.2300 	  0.2401 	 14.8800 	  0.5309 	  5.5500 	 11.7800 	  3.5500 	100.7095 	UnknA-C22-PS1-L2_7 
   43  	  3.9100 	  0.0379 	 12.3100 	 46.8900 	  0.0816 	  0.1498 	  1.1918 	  0.1979 	 14.6800 	  0.5189 	  5.5200 	 11.9800 	  3.6000 	101.0678 	UnknA-C22-PS1-L2_8 
   44  	  4.0800 	  0.0294 	 12.0600 	 46.5500 	  0.0868 	  0.1266 	  1.2500 	  0.1726 	 14.6900 	  0.5556 	  5.6700 	 11.7700 	  3.5600 	100.6009 	UnknA-C22-PS1-L2_9 
   45  	  3.9700 	  0.0428 	 12.9100 	 47.3700 	  0.0741 	  0.0627 	  1.0877 	  0.2627 	 15.2600 	  0.5233 	  5.4300 	 11.0100 	  3.4800 	101.4833 	UnknA-C22-PS1-L3_1 
   46  	  3.4000 	  0.0567 	 12.1000 	 47.4100 	  0.0653 	  0.1217 	  0.9193 	  0.1245 	 15.2400 	  0.5405 	  5.5900 	 12.2100 	  3.5800 	101.3579 	UnknA-C22-PS1-L3_2 
   47  	  3.4900 	  0.0371 	 11.6700 	 47.4200 	  0.0761 	  0.0686 	  0.3311 	  0.2111 	 15.5300 	  0.4557 	  5.6200 	 12.7100 	  3.4900 	101.1096 	UnknA-C22-PS1-L3_3 
   48  	  3.2500 	  0.0681 	 11.9800 	 47.2700 	  0.0881 	  0.1237 	  1.1984 	  0.2048 	 15.2400 	  0.4940 	  5.7800 	 12.4300 	  3.5000 	101.6270 	UnknA-C22-PS1-L3_4 
   49  	  0.4033 	  0.0320 	  7.3800 	 48.1100 	  0.0022 	  0.0528 	  0.0011 	  0.1541 	  6.4000 	  0.0021 	 13.8300 	 23.2800 	  2.3400 	101.9875 	UnknA-C22-PS1-L3_5 
   50  	  3.0200 	  0.0229 	 11.9600 	 47.8800 	  0.0692 	  0.0759 	  1.1657 	  0.2003 	 15.4300 	  0.5261 	  5.7400 	 12.6900 	  3.5000 	102.2801 	UnknA-C22-PS1-L3_6 
   51  	  3.7000 	  0.0542 	 12.0300 	 47.5500 	  0.0802 	  0.0900 	  0.9078 	  0.1917 	 15.2900 	  0.4851 	  5.5600 	 11.8600 	  3.5000 	101.2990 	UnknA-C22-PS1-L3_7 
   52  	  3.7200 	  0.0387 	 11.3400 	 48.0600 	  0.0657 	  0.1074 	  0.7333 	  0.1470 	 15.4600 	  0.5012 	  5.6400 	 12.2800 	  3.5600 	101.6532 	UnknA-C22-PS1-L3_8 
   53  	  3.8700 	  0.0599 	 10.6600 	 48.1000 	  0.0774 	  0.0395 	  1.2900 	  0.1643 	 15.6700 	  0.5988 	  5.5000 	 11.6300 	  3.6300 	101.2898 	UnknA-C22-PS1-L3_9 
   54  	  2.8000 	  0.0467 	 13.6500 	 51.5000 	  0.0201 	  0.0459 	  0.8168 	  0.2075 	 12.4600 	  0.4254 	  5.2500 	  9.3800 	  4.0800 	100.6824 	VGA99_ 
   55  	  2.5600 	  0.0158 	 13.4400 	 51.4000 	  0.0181 	  0.0749 	  0.8150 	  0.1629 	 12.5100 	  0.3845 	  5.1800 	  9.3700 	  4.0800 	100.0112 	VGA99_ 
   56  	  2.7800 	  0.3621 	 11.8200 	 51.2000 	  0.0345 	  0.0147 	  0.1945 	  0.1959 	 13.9600 	  0.1713 	  7.1000 	 11.2800 	  1.8600 	100.9730 	VG-2_ 
   57  	  2.7900 	  0.3713 	 11.6900 	 51.4500 	  0.0303 	  0.0249 	  0.1907 	  0.2580 	 14.0700 	  0.2114 	  7.2100 	 11.3600 	  1.8700 	101.5266 	VG-2_ 
